pdbid,RMSD_AF2,TMscore_AF2,GDT_TS_AF2,DockQ_AF2,F1_AF2,iRMSD_AF2_DockQ,LRMSD_AF2,fnat_AF2,fnonnat_AF2,clashes_AF2,Time_AF2,RMSD_AF3,TMscore_AF3,GDT_TS_AF3,DockQ_AF3,F1_AF3,iRMSD_AF3_DockQ,LRMSD_AF3,fnat_AF3,fnonnat_AF3,clashes_AF3,Time_AF3,RMSD_RF2,TMscore_RF2,GDT_TS_RF2,DockQ_RF2,F1_RF2,iRMSD_RF2_DockQ,LRMSD_RF2,fnat_RF2,fnonnat_RF2,clashes_RF2,Time_RF2
2jkg,3.1073608026548385,0.9334,0.9205,0.20324654888880558,0.27586206896551724,6.735546546515245,13.114308825774357,0.26666666666666666,0.7142857142857143,0.0,1.9286,1.8994772535186204,0.9437,0.9306,0.6014872479253649,0.5185185185185185,1.4921425378226878,3.7761661070565244,0.4666666666666667,0.4166666666666667,0.0,1.3288,1.9156235915445756,0.9358,0.9162,0.3617145137574244,0.24,2.8107598070996365,6.053598298577026,0.2,0.7,2.0,0.7908
1w80,0.931327735293441,0.9792,0.9434,0.9405407902351666,0.9473684210526315,0.36871830881293927,1.2568740601823007,0.9,0.0,0.0,1.7186,0.7352105368942123,0.9861,0.9756,0.8386014440300186,0.9743589743589743,1.1411455264396493,2.2887775256774194,0.95,0.0,0.0,0.7616,1.074952516505128,0.9728,0.9365,0.7046404974702919,0.8421052631578947,1.7025146168314582,3.184647274637331,0.8,0.1111111111111111,1.0,0.7761
5onp,0.4239947045628477,0.9973,0.9969,0.7883187829426314,0.8070175438596491,1.2136666167801329,2.6934599859686803,0.8518518518518519,0.23333333333333334,0.0,2.6772,0.36651216883053755,0.9981,0.9977,0.7929305953279705,0.8148148148148148,1.1237694211151397,2.446891815790343,0.8148148148148148,0.18518518518518517,0.0,0.9419,1.0271104418675285,0.9857,0.9782,0.4036246828993923,0.3492063492063492,3.10978819002237,6.729269109207969,0.4074074074074074,0.6944444444444444,5.0,0.3986
1d4t,0.7908897783849503,0.9737,0.9761,0.943235952044725,0.9024390243902439,0.4391958389038366,1.0952275538709073,0.925,0.11904761904761904,0.0,1.5783,0.4534876251748616,0.9884,0.9957,0.9410762372365697,0.9,0.3828461490108054,1.0704672257965093,0.9,0.1,0.0,0.943,3.510040495870547,0.8828,0.8826,0.2215802756277354,0.3076923076923077,5.99478957768694,11.436849182380852,0.25,0.6,4.0,0.1186
5t0k,,0.0322,0.0311,,,,,,,,2.2794,,0.0326,0.0321,,,,,,,,1.578,,0.0277,0.0284,,,,,,,,0.5333
1jw6,2.09972196125432,0.9706,0.9599,0.11380152162342905,0.0,6.152723280084316,13.453227362869134,0.0,1.0,0.0,1.6861,6.963084079299292,0.965,0.9578,0.014042721986031908,0.0,17.844928655762345,44.558350158045194,0.0,1.0,0.0,0.8163,8.174243521414848,0.9391,0.9115,0.010597897421321813,0.0,20.668446228360487,51.464507208537526,0.0,1.0,1.0,0.3213
4z2o,0.7469841124963985,0.9754,0.9692,0.8979352124234881,0.8484848484848485,0.6472323144918093,1.3395847663744087,0.875,0.17647058823529413,0.0,1.4936,0.7437423097981554,0.9761,0.9656,0.9136974345864955,0.8787878787878788,0.6124383576670626,1.2829547545118567,0.90625,0.14705882352941177,0.0,0.8625,7.273910936272192,0.895,0.8822,0.03386962221705649,0.0,11.841247938476693,27.74296656897758,0.0,1.0,0.0,0.1816
4nuu,2.2335162488071196,0.1757,0.1667,0.8660865529375562,0.8,0.7056137697846815,1.2312197699280887,0.8,0.2,0.0,2.9366,1.834580015853488,0.1783,0.1667,0.8145712867221274,0.7391304347826086,0.7215147183006376,1.9167461810687805,0.68,0.19047619047619047,0.0,2.3919,4.427500418027863,0.126,0.0884,0.11731323177544385,0.0,5.284579098084214,13.719471280334169,0.0,0.0,0.0,1.1755
3pkn,0.70046877378052,0.9671,0.975,0.8722537680988381,0.7796610169491526,0.5823581105625881,1.180377576935823,0.7666666666666667,0.20689655172413793,0.0,1.7491,1.7821561713172898,0.9346,0.9528,0.8067727559782553,0.8070175438596491,0.9250083470653877,2.3469394414089506,0.7666666666666667,0.14814814814814814,0.0,0.7827,5.32860034103793,0.8744,0.875,0.1366101251052035,0.17543859649122806,9.008385993296889,16.18497887390628,0.16666666666666666,0.8148148148148148,5.0,0.3575
2g30,0.7066201612509323,0.9888,0.9849,0.8065450515035756,0.8148148148148148,1.07993696087915,2.0267144110220494,0.8148148148148148,0.18518518518518517,0.0,2.0769,0.5760724752169911,0.9929,0.992,0.8414390810306523,0.8620689655172413,1.1113901378241628,1.8918171741531573,0.9259259259259259,0.1935483870967742,0.0,0.8733,0.9035813507592528,0.9821,0.9729,0.8292843522855228,0.8,1.196790435710204,2.609642837392556,0.9629629629629629,0.3157894736842105,4.0,0.6936
